time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-15T07:26:53.704Z,32.81707764,-100.9252334,7.458699544,2.5,ml,9,91,0.1081160806,0.2,tx,tx2022lqau,2022-06-15T20:30:07.999Z,"11 km N of Snyder, Texas",earthquake,1.62562995,2.882517514,0.1,7,reviewed,tx,tx
2022-06-15T07:14:53.296Z,32.83172607,-100.9316644,4.524129232,3,ml,22,59,0.03708509945,0.2,tx,tx2022lqaj,2022-06-16T02:52:37.432Z,"12 km N of Snyder, Texas",earthquake,0.8153865612,1.061368016,0.1,13,reviewed,tx,tx
2022-06-15T06:48:54.090Z,26.6526,54.2431,10,4.9,mb,,76,2.452,0.72,us,us7000hhhk,2022-06-15T07:37:32.928Z,"24 km ENE of K?sh, Iran",earthquake,8,1.8,0.055,102,reviewed,us,us
2022-06-15T06:23:47.925Z,31.66402316,-104.5202253,7.494091797,2.7,ml,12,90,0.0172088114,0.2,tx,tx2022lpyr,2022-06-17T07:57:52.264Z,"58 km SSW of Whites City, New Mexico",earthquake,2.191603368,1.569513707,0.1,10,reviewed,tx,tx
2022-06-15T06:22:04.590Z,18.1601666666667,-67.2585,22.32,2.69,md,22,182,,0.13,pr,pr71354218,2022-06-15T07:02:10.890Z,"12 km NW of Puerto Real, Puerto Rico",earthquake,0.42,0.55,0.0147703802595709,9,reviewed,pr,pr
2022-06-15T06:06:03.165Z,26.6859,54.1869,10,5.5,mww,,56,2.512,0.97,us,us7000hhhc,2022-06-16T17:42:15.040Z,"21 km NE of K?sh, Iran",earthquake,7.2,1.8,0.061,26,reviewed,us,us
2022-06-15T06:04:39.664Z,26.674,54.1822,10,4.7,mb,,78,2.507,0.92,us,us7000hhhb,2022-06-15T06:30:28.040Z,"20 km NE of K?sh, Iran",earthquake,7.8,1.3,0.06,85,reviewed,us,us
2022-06-15T05:59:21.953Z,26.6363,54.2647,10,4.6,mb,,75,2.427,1,us,us7000hhha,2022-06-15T06:55:10.040Z,"25 km ENE of K?sh, Iran",earthquake,8.5,1.9,0.073,55,reviewed,us,us
2022-06-15T05:55:01.691Z,26.5607,54.1625,10,4.7,mb,,80,2.444,1.34,us,us7000hhh9,2022-06-15T06:58:44.983Z,"14 km E of K?sh, Iran",earthquake,8,1.9,0.066,70,reviewed,us,us
2022-06-15T03:43:36.756Z,58.3213,-153.7228,59.1,3.1,ml,,,,0.42,ak,ak0227ml97fl,2022-06-15T22:52:40.040Z,"55 km WNW of Aleneva, Alaska",earthquake,,0.8,,,automatic,ak,ak
