time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-31T15:23:31.871Z,-58.0413,-25.2563,45.46,5,mb,,45,7.312,0.53,us,us7000gyqv,2022-06-04T20:42:30.040Z,"South Sandwich Islands region",earthquake,10.1,5,0.072,67,reviewed,us,us
2022-03-31T15:02:52.609Z,-11.9305,166.7315,62.7,4.6,mb,,120,3.525,0.75,us,us7000gzws,2022-06-04T20:42:30.040Z,"167 km SE of Lata, Solomon Islands",earthquake,9.5,7.4,0.173,13,reviewed,us,us
2022-03-31T15:01:36.611Z,-22.4672,170.2232,10,4.4,mb,,71,2.571,0.94,us,us7000gzw2,2022-06-04T20:42:30.040Z,"262 km ESE of Tadine, New Caledonia",earthquake,7.9,1.7,0.134,23,reviewed,us,us
2022-03-31T14:34:13.077Z,35.027,135.5594,33.13,4.4,mb,,83,1.246,0.57,us,us7000gypw,2022-06-04T20:42:30.040Z,"3 km NW of Kameoka, Japan",earthquake,3.7,5.8,0.123,19,reviewed,us,us
2022-03-31T14:29:09.277Z,-22.2023,170.2967,10,4.4,mb,,77,2.669,1.13,us,us7000gzwt,2022-06-04T20:42:30.040Z,"260 km ESE of Tadine, New Caledonia",earthquake,9.8,1.9,0.149,17,reviewed,us,us
2022-03-31T13:56:01.884Z,-21.4607,-178.3975,573.72,4.6,mb,,86,7.78,0.59,us,us7000gypu,2022-06-04T20:42:30.040Z,"Fiji region",earthquake,12.7,10.2,0.091,36,reviewed,us,us
2022-03-31T13:55:00.866Z,-22.5122,-66.1742,265.36,4.1,mb,,119,1.901,1.03,us,us7000gypt,2022-06-04T20:42:30.040Z,"54 km WNW of Abra Pampa, Argentina",earthquake,10.1,11.6,0.198,7,reviewed,us,us
2022-03-31T13:39:31.412Z,60.1622,-153.3673,144.5,2.6,ml,,,,0.45,ak,ak022452cakw,2022-06-04T20:42:30.040Z,"52 km E of Port Alsworth, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2022-03-31T13:34:35.763Z,12.5298,47.3867,10,4.3,mb,,141,4.551,0.96,us,us7000gzw0,2022-06-04T20:42:30.040Z,"175 km NNW of Las Khorey, Somalia",earthquake,7,2,0.188,8,reviewed,us,us
2022-03-31T12:56:05.162Z,36.3781,-103.183,5,3.4,mb_lg,,91,1.244,0.56,us,us7000gypi,2022-06-04T20:42:30.040Z,"8 km S of Clayton, New Mexico",earthquake,2.7,1.9,0.041,157,reviewed,us,us
2022-03-31T12:22:35.648Z,-24.8902,179.976,494.18,4.5,mb,,122,12.732,0.49,us,us7000gzvx,2022-06-04T20:42:30.040Z,"south of the Fiji Islands",earthquake,14.9,9.4,0.18,9,reviewed,us,us
2022-03-31T12:19:11.330Z,19.1873333333333,-155.486833333333,35.29,2.91,ml,55,77,,0.12,hv,hv72968747,2022-06-04T20:42:30.040Z,"1 km SSW of P?hala, Hawaii",earthquake,0.41,0.47,0.225664820268504,35,reviewed,hv,hv
2022-03-31T11:52:12.907Z,35.57,140.0561,59.52,4.8,mb,,62,1.774,0.93,us,us7000gypa,2022-06-04T20:42:30.040Z,"6 km NNW of Ichihara, Japan",earthquake,6.1,5.2,0.036,244,reviewed,us,us
2022-03-31T11:42:32.498Z,-22.3749,170.1287,10,4.5,mb,,107,2.491,1.15,us,us7000gyp9,2022-06-04T20:42:30.040Z,"249 km ESE of Tadine, New Caledonia",earthquake,8,1.9,0.136,19,reviewed,us,us
2022-03-31T11:42:12.576Z,51.3596,-178.3351,45.97,3.8,mb,,199,0.357,0.87,us,us7000gzvv,2022-06-04T20:42:30.040Z,"130 km WSW of Adak, Alaska",earthquake,4.9,11.2,0.12,18,reviewed,us,us
2022-03-31T11:17:09.987Z,-22.3984,170.6964,10,4.2,mb,,169,3.012,1.24,us,us7000gzvs,2022-06-04T20:42:29.040Z,"southeast of the Loyalty Islands",earthquake,9.9,1.7,0.2,11,reviewed,us,us
2022-03-31T10:59:45.322Z,-22.3871,170.299,10,4.1,mb,,169,2.647,1.19,us,us7000gzvr,2022-06-04T20:42:29.040Z,"266 km ESE of Tadine, New Caledonia",earthquake,10.6,1.9,0.213,7,reviewed,us,us
